MAT_GRP,MAT_GRP_DESC,ds,is_synthetic,y,receipt_qty,inv_qty,n_active_materials
209,MER. MILL EQPT&SPRS,2024-09-30,1,777.0,915.0,1756.0,5
209,MER. MILL EQPT&SPRS,2024-10-31,1,787.0,887.0,1856.0,5
209,MER. MILL EQPT&SPRS,2024-11-30,1,687.0,796.0,1965.0,5
209,MER. MILL EQPT&SPRS,2024-12-31,1,851.0,806.0,1920.0,5
209,MER. MILL EQPT&SPRS,2025-01-31,1,1048.0,835.0,1707.0,5
209,MER. MILL EQPT&SPRS,2025-02-28,1,931.0,879.0,1655.0,5
209,MER. MILL EQPT&SPRS,2025-03-31,1,892.0,1308.0,2071.0,5
209,MER. MILL EQPT&SPRS,2025-04-30,1,796.0,1063.0,2338.0,5
209,MER. MILL EQPT&SPRS,2025-05-31,1,856.0,937.0,2419.0,5
209,MER. MILL EQPT&SPRS,2025-06-30,1,821.0,779.0,2377.0,5
209,MER. MILL EQPT&SPRS,2025-07-31,1,739.0,843.0,2481.0,5
209,MER. MILL EQPT&SPRS,2025-08-31,1,666.0,940.0,2755.0,5
209,MER. MILL EQPT&SPRS,2025-09-30,0,850.0,850.0,125.0,5
209,MER. MILL EQPT&SPRS,2025-10-31,0,850.0,850.0,125.0,5
210,WRM EQPT & SPRS,2023-11-30,1,757.0,826.0,101.0,44
210,WRM EQPT & SPRS,2023-12-31,1,730.0,830.0,222.0,44
210,WRM EQPT & SPRS,2024-01-31,1,751.0,771.0,271.0,44
210,WRM EQPT & SPRS,2024-02-29,1,817.0,796.0,287.0,44
210,WRM EQPT & SPRS,2024-03-31,1,819.0,841.0,323.0,44
210,WRM EQPT & SPRS,2024-04-30,1,824.0,898.0,426.0,44
210,WRM EQPT & SPRS,2024-05-31,1,819.0,920.0,533.0,44
210,WRM EQPT & SPRS,2024-06-30,1,766.0,883.0,650.0,44
210,WRM EQPT & SPRS,2024-07-31,1,772.0,939.0,818.0,44
210,WRM EQPT & SPRS,2024-08-31,1,746.0,897.0,969.0,44
210,WRM EQPT & SPRS,2024-09-30,1,789.0,812.0,992.0,44
210,WRM EQPT & SPRS,2024-10-31,1,761.0,861.0,1092.0,44
210,WRM EQPT & SPRS,2024-11-30,1,776.0,872.0,1188.0,44
210,WRM EQPT & SPRS,2024-12-31,1,821.0,824.0,1191.0,44
210,WRM EQPT & SPRS,2025-01-31,1,818.0,782.0,1155.0,44
210,WRM EQPT & SPRS,2025-02-28,1,828.0,919.0,1246.0,44
210,WRM EQPT & SPRS,2025-03-31,1,816.0,908.0,1338.0,44
210,WRM EQPT & SPRS,2025-04-30,1,840.0,922.0,1420.0,44
210,WRM EQPT & SPRS,2025-05-31,1,856.0,908.0,1472.0,44
210,WRM EQPT & SPRS,2025-06-30,1,819.0,924.0,1577.0,44
210,WRM EQPT & SPRS,2025-07-31,1,839.0,869.0,1607.0,44
210,WRM EQPT & SPRS,2025-08-31,1,802.0,847.0,1652.0,44
210,WRM EQPT & SPRS,2025-09-30,0,764.0,829.0,65.0,44
210,WRM EQPT & SPRS,2025-10-31,0,764.0,829.0,67.0,44
211,PLATE MILL EQPT&SPRS,2023-11-30,1,3179.0,3590.0,3846.0,34
211,PLATE MILL EQPT&SPRS,2023-12-31,1,2957.0,3144.0,4195.0,34
211,PLATE MILL EQPT&SPRS,2024-01-31,1,2869.0,3932.0,5375.0,34
211,PLATE MILL EQPT&SPRS,2024-02-29,1,2257.0,3096.0,6248.0,34
211,PLATE MILL EQPT&SPRS,2024-03-31,1,2769.0,2685.0,6203.0,34
211,PLATE MILL EQPT&SPRS,2024-04-30,1,3144.0,2754.0,5814.0,34
211,PLATE MILL EQPT&SPRS,2024-05-31,1,3054.0,2979.0,5739.0,34
211,PLATE MILL EQPT&SPRS,2024-06-30,1,2847.0,3638.0,6530.0,34
211,PLATE MILL EQPT&SPRS,2024-07-31,1,3302.0,3170.0,6398.0,34
211,PLATE MILL EQPT&SPRS,2024-08-31,1,3251.0,3424.0,6571.0,34
211,PLATE MILL EQPT&SPRS,2024-09-30,1,3142.0,3634.0,7063.0,34
211,PLATE MILL EQPT&SPRS,2024-10-31,1,3310.0,3393.0,7148.0,34
211,PLATE MILL EQPT&SPRS,2024-11-30,1,3157.0,3248.0,7251.0,34
211,PLATE MILL EQPT&SPRS,2024-12-31,1,2670.0,3517.0,8098.0,34
211,PLATE MILL EQPT&SPRS,2025-01-31,1,3052.0,3042.0,8088.0,34
211,PLATE MILL EQPT&SPRS,2025-02-28,1,2794.0,3052.0,8346.0,34
211,PLATE MILL EQPT&SPRS,2025-03-31,1,2728.0,3591.0,9209.0,34
211,PLATE MILL EQPT&SPRS,2025-04-30,1,3094.0,3381.0,9496.0,34
211,PLATE MILL EQPT&SPRS,2025-05-31,1,3017.0,3001.0,9480.0,34
211,PLATE MILL EQPT&SPRS,2025-06-30,1,3327.0,2976.0,9129.0,34
211,PLATE MILL EQPT&SPRS,2025-07-31,1,3271.0,3526.0,9384.0,34
211,PLATE MILL EQPT&SPRS,2025-08-31,1,3408.0,3578.0,9554.0,34
211,PLATE MILL EQPT&SPRS,2025-09-30,0,2998.7,2977.7,4161.7,34
211,PLATE MILL EQPT&SPRS,2025-10-31,0,2998.7,2977.7,3296.0,34
352,ACVS&CAS EQPT&SPRS,2023-11-30,1,71.0,87.0,1152.0,9
352,ACVS&CAS EQPT&SPRS,2023-12-31,1,73.0,76.0,1156.0,9
352,ACVS&CAS EQPT&SPRS,2024-01-31,1,69.0,80.0,1168.0,9
352,ACVS&CAS EQPT&SPRS,2024-02-29,1,70.0,74.0,1172.0,9
352,ACVS&CAS EQPT&SPRS,2024-03-31,1,61.0,76.0,1187.0,9
352,ACVS&CAS EQPT&SPRS,2024-04-30,1,63.0,67.0,1192.0,9
352,ACVS&CAS EQPT&SPRS,2024-05-31,1,61.0,59.0,1190.0,9
352,ACVS&CAS EQPT&SPRS,2024-06-30,1,59.0,72.0,1203.0,9
352,ACVS&CAS EQPT&SPRS,2024-07-31,1,64.0,67.0,1206.0,9
352,ACVS&CAS EQPT&SPRS,2024-08-31,1,65.0,70.0,1211.0,9
352,ACVS&CAS EQPT&SPRS,2024-09-30,1,64.0,73.0,1220.0,9
352,ACVS&CAS EQPT&SPRS,2024-10-31,1,72.0,73.0,1222.0,9
352,ACVS&CAS EQPT&SPRS,2024-11-30,1,69.0,82.0,1235.0,9
352,ACVS&CAS EQPT&SPRS,2024-12-31,1,72.0,76.0,1239.0,9
352,ACVS&CAS EQPT&SPRS,2025-01-31,1,74.0,84.0,1249.0,9
352,ACVS&CAS EQPT&SPRS,2025-02-28,1,68.0,84.0,1265.0,9
352,ACVS&CAS EQPT&SPRS,2025-03-31,1,64.0,77.0,1278.0,9
352,ACVS&CAS EQPT&SPRS,2025-04-30,1,75.0,62.0,1265.0,9
352,ACVS&CAS EQPT&SPRS,2025-05-31,1,66.0,82.0,1281.0,9
352,ACVS&CAS EQPT&SPRS,2025-06-30,1,63.0,79.0,1297.0,9
352,ACVS&CAS EQPT&SPRS,2025-07-31,1,65.0,67.0,1299.0,9
352,ACVS&CAS EQPT&SPRS,2025-08-31,1,64.0,71.0,1306.0,9
352,ACVS&CAS EQPT&SPRS,2025-09-30,0,64.0,65.0,1156.0,9
352,ACVS&CAS EQPT&SPRS,2025-10-31,0,64.0,65.0,1148.0,9
354,WATER SUP EQPT&SPRS,2023-11-30,1,18.0426,15.5899,0.0,1
354,WATER SUP EQPT&SPRS,2023-12-31,1,16.8269,22.4075,5.5806,1
354,WATER SUP EQPT&SPRS,2024-01-31,1,25.1143,22.2527,2.719,1
354,WATER SUP EQPT&SPRS,2024-02-29,1,23.9281,26.7405,5.5314,1
354,WATER SUP EQPT&SPRS,2024-03-31,1,26.9405,23.2884,1.8793,1
354,WATER SUP EQPT&SPRS,2024-04-30,1,21.1924,29.0506,9.7375,1
354,WATER SUP EQPT&SPRS,2024-05-31,1,22.7229,25.3828,12.3974,1
354,WATER SUP EQPT&SPRS,2024-06-30,1,22.7104,30.2549,19.9419,1
354,WATER SUP EQPT&SPRS,2024-07-31,1,20.1164,26.2408,26.0663,1
354,WATER SUP EQPT&SPRS,2024-08-31,1,24.6432,17.2134,18.6365,1
354,WATER SUP EQPT&SPRS,2024-09-30,1,25.0964,25.8949,19.435,1
354,WATER SUP EQPT&SPRS,2024-10-31,1,18.3285,30.5922,31.6987,1
354,WATER SUP EQPT&SPRS,2024-11-30,1,21.7015,25.03,35.0272,1
354,WATER SUP EQPT&SPRS,2024-12-31,1,20.9018,19.7548,33.8802,1
354,WATER SUP EQPT&SPRS,2025-01-31,1,21.4582,22.3318,34.7538,1
354,WATER SUP EQPT&SPRS,2025-02-28,1,17.8744,25.5884,42.4678,1
354,WATER SUP EQPT&SPRS,2025-03-31,1,15.886,18.9275,45.5093,1
354,WATER SUP EQPT&SPRS,2025-04-30,1,10.6029,17.6551,52.5615,1
354,WATER SUP EQPT&SPRS,2025-05-31,1,17.8537,9.3322,44.04,1
354,WATER SUP EQPT&SPRS,2025-06-30,1,17.763,22.9638,49.2408,1
354,WATER SUP EQPT&SPRS,2025-07-31,1,19.1045,21.7133,51.8496,1
354,WATER SUP EQPT&SPRS,2025-08-31,1,18.5401,18.4009,51.7104,1
354,WATER SUP EQPT&SPRS,2025-09-30,0,19.7,12.7,19.7,1
354,WATER SUP EQPT&SPRS,2025-10-31,0,19.7,12.7,0.0,1
401,LOCOMOTIVES & SPRS,2023-11-30,1,42.0,43.0,129.0,2
401,LOCOMOTIVES & SPRS,2023-12-31,1,43.0,43.0,129.0,2
401,LOCOMOTIVES & SPRS,2024-01-31,1,52.0,57.0,134.0,2
401,LOCOMOTIVES & SPRS,2024-02-29,1,35.0,53.0,152.0,2
401,LOCOMOTIVES & SPRS,2024-03-31,1,43.0,30.0,139.0,2
401,LOCOMOTIVES & SPRS,2024-04-30,1,39.0,57.0,157.0,2
401,LOCOMOTIVES & SPRS,2024-05-31,1,43.0,51.0,165.0,2
401,LOCOMOTIVES & SPRS,2024-06-30,1,32.0,42.0,175.0,2
401,LOCOMOTIVES & SPRS,2024-07-31,1,31.0,40.0,184.0,2
401,LOCOMOTIVES & SPRS,2024-08-31,1,34.0,31.0,181.0,2
401,LOCOMOTIVES & SPRS,2024-09-30,1,45.0,31.0,167.0,2
401,LOCOMOTIVES & SPRS,2024-10-31,1,53.0,52.0,166.0,2
401,LOCOMOTIVES & SPRS,2024-11-30,1,26.0,66.0,206.0,2
401,LOCOMOTIVES & SPRS,2024-12-31,1,59.0,33.0,180.0,2
401,LOCOMOTIVES & SPRS,2025-01-31,1,42.0,51.0,189.0,2
401,LOCOMOTIVES & SPRS,2025-02-28,1,41.0,58.0,206.0,2
401,LOCOMOTIVES & SPRS,2025-03-31,1,45.0,45.0,206.0,2
401,LOCOMOTIVES & SPRS,2025-04-30,1,44.0,58.0,220.0,2
401,LOCOMOTIVES & SPRS,2025-05-31,1,54.0,41.0,207.0,2
401,LOCOMOTIVES & SPRS,2025-06-30,1,35.0,56.0,228.0,2
401,LOCOMOTIVES & SPRS,2025-07-31,1,30.0,38.0,236.0,2
401,LOCOMOTIVES & SPRS,2025-08-31,1,40.0,31.0,227.0,2
401,LOCOMOTIVES & SPRS,2025-09-30,0,41.0,84.0,227.0,2
401,LOCOMOTIVES & SPRS,2025-10-31,0,41.0,84.0,269.0,2
402,LM VEH. & SPRS.,2023-11-30,1,2228.0,2459.0,353.0,159
402,LM VEH. & SPRS.,2023-12-31,1,2221.0,2440.0,648.0,159
402,LM VEH. & SPRS.,2024-01-31,1,2190.0,2320.0,848.0,159
402,LM VEH. & SPRS.,2024-02-29,1,2234.0,2456.0,1089.0,159
402,LM VEH. & SPRS.,2024-03-31,1,2129.0,2606.0,1593.0,159
402,LM VEH. & SPRS.,2024-04-30,1,2020.0,2410.0,2003.0,159
402,LM VEH. & SPRS.,2024-05-31,1,2079.0,2271.0,2210.0,159
402,LM VEH. & SPRS.,2024-06-30,1,2017.0,2359.0,2559.0,159
402,LM VEH. & SPRS.,2024-07-31,1,2034.0,2222.0,2757.0,159
402,LM VEH. & SPRS.,2024-08-31,1,2113.0,2444.0,3088.0,159
402,LM VEH. & SPRS.,2024-09-30,1,2264.0,2205.0,3046.0,159
402,LM VEH. & SPRS.,2024-10-31,1,2338.0,2462.0,3170.0,159
402,LM VEH. & SPRS.,2024-11-30,1,2271.0,2535.0,3435.0,159
402,LM VEH. & SPRS.,2024-12-31,1,2141.0,2430.0,3724.0,159
402,LM VEH. & SPRS.,2025-01-31,1,2312.0,2498.0,3911.0,159
402,LM VEH. & SPRS.,2025-02-28,1,2189.0,2496.0,4218.0,159
402,LM VEH. & SPRS.,2025-03-31,1,2111.0,2618.0,4726.0,159
402,LM VEH. & SPRS.,2025-04-30,1,2024.0,2128.0,4830.0,159
402,LM VEH. & SPRS.,2025-05-31,1,2169.0,2337.0,4998.0,159
402,LM VEH. & SPRS.,2025-06-30,1,2032.0,2273.0,5239.0,159
402,LM VEH. & SPRS.,2025-07-31,1,2174.0,2160.0,5225.0,159
402,LM VEH. & SPRS.,2025-08-31,1,2157.0,2311.0,5379.0,159
402,LM VEH. & SPRS.,2025-09-30,0,2119.0,2109.0,234.0,159
402,LM VEH. & SPRS.,2025-10-31,0,2119.0,2109.0,183.0,159
426,PP EQPT. & SPARES,2023-11-30,1,3.0,4.0,3.0,2
426,PP EQPT. & SPARES,2023-12-31,1,2.0,3.0,4.0,2
426,PP EQPT. & SPARES,2024-01-31,1,2.0,3.0,5.0,2
426,PP EQPT. & SPARES,2024-02-29,1,2.0,2.0,5.0,2
426,PP EQPT. & SPARES,2024-03-31,1,2.0,2.0,5.0,2
426,PP EQPT. & SPARES,2024-04-30,1,2.0,2.0,5.0,2
426,PP EQPT. & SPARES,2024-05-31,1,2.0,2.0,5.0,2
426,PP EQPT. & SPARES,2024-06-30,1,2.0,2.0,5.0,2
426,PP EQPT. & SPARES,2024-07-31,1,2.0,2.0,5.0,2
426,PP EQPT. & SPARES,2024-08-31,1,2.0,2.0,5.0,2
426,PP EQPT. & SPARES,2024-09-30,1,2.0,2.0,5.0,2
